time,BrainSurface_free,BrainSurface
0.002244089763590544,0.0,1.3882845048791501e-09
0.002246089843593744,0.0,-1.3882845047878307e-09
0.002248089923596944,0.0,1.3882845047807051e-09
0.0022500900036001442,0.0,-1.3882845049281707e-09
0.0022520900836033443,0.0,1.3882845045803992e-09
0.0022540901636065444,0.0,-1.3882845047469007e-09
0.0022560902436097444,-0.0,1.3882845048703928e-09
0.0022580903236129445,0.0,-1.3882845046636433e-09
0.002260090403616145,0.0,1.3882845046665591e-09
0.002262090483619345,-0.0,-1.3882845047692261e-09
0.002264090563622545,0.0,1.3882845048047936e-09
0.0022660906436257453,0.0,-1.3882845047436367e-09
0.0022680907236289453,0.0,1.3882845048840717e-09
0.0022700908036321454,-0.0,-1.3882845045652473e-09
0.0022720908836353455,0.0,1.3882845044679092e-09
0.0022740909636385456,0.0,-1.3882845046053629e-09
0.0022760910436417457,-0.0,1.3882845048683377e-09
0.002278091123644946,0.0,-1.388284504653104e-09
0.0022800912036481462,0.0,1.3882845044387761e-09
0.0022820912836513463,-0.0,-1.3882845044484223e-09
0.0022840913636545464,0.0,1.3882845049395968e-09
0.0022860914436577465,0.0,-1.3882845045621886e-09
0.0022880915236609465,0.0,1.3882845045997077e-09
0.0022900916036641466,-0.0,-1.3882845042391996e-09
0.0022920916836673467,0.0,1.3882845047523132e-09
0.002294091763670547,0.0,-1.388284504885078e-09
0.0022960918436737473,-0.0,1.388284504867831e-09
0.0022980919236769474,0.0,-1.388284504498317e-09
0.0023000920036801474,0.0,1.3882845046499587e-09
0.0023020920836833475,0.0,-1.3882845046381066e-09
0.0023040921636865476,0.0,1.3882845047913325e-09
0.0023060922436897477,0.0,-1.3882845047856816e-09
0.0023080923236929477,0.0,1.3882845047272103e-09
0.002310092403696148,-0.0,-1.3882845044935502e-09
0.0023120924836993483,0.0,1.3882845048907133e-09
0.0023140925637025484,0.0,-1.3882845049421156e-09
0.0023160926437057485,-0.0,1.3882845048008993e-09
0.0023180927237089486,0.0,-1.388284504506194e-09
0.0023200928037121486,0.0,1.388284504777281e-09
0.0023220928837153487,0.0,-1.3882845047097998e-09
0.002324092963718549,0.0,1.3882845046948746e-09
0.002326093043721749,0.0,-1.388284504558165e-09
0.0023280931237249494,0.0,1.3882845047595524e-09
0.0023300932037281495,-0.0,-1.3882845047038265e-09
0.0023320932837313495,0.0,1.3882845048896888e-09
0.0023340933637345496,0.0,-1.388284504677649e-09
0.0023360934437377497,-0.0,1.3882845047518793e-09
0.0023380935237409498,0.0,-1.388284504609869e-09
0.00234009360374415,0.0,1.3882845045453991e-09
0.00234209368374735,-0.0,-1.3882845046473024e-09
0.00234409376375055,0.0,1.3882845050103983e-09
0.0023460938437537505,0.0,-1.388284504667412e-09
0.0023480939237569506,0.0,1.388284504617112e-09
0.0023500940037601507,-0.0,-1.3882845045763958e-09
0.0023520940837633507,0.0,1.3882845049779052e-09
0.002354094163766551,0.0,-1.388284504876749e-09
0.002356094243769751,-0.0,1.3882845048310188e-09
0.002358094323772951,0.0,-1.3882845045019237e-09
0.002360094403776151,0.0,1.3882845047576003e-09
0.0023620944837793516,-0.0,-1.3882845047150582e-09
0.0023640945637825516,0.0,1.3882845049515282e-09
0.0023660946437857517,0.0,-1.3882845047046682e-09
0.002368094723788952,0.0,1.3882845046087446e-09
0.002370094803792152,0.0,-1.388284504686252e-09
0.002372094883795352,0.0,1.3882845048302867e-09
0.002374094963798552,0.0,-1.3882845048127627e-09
0.002376095043801752,-0.0,1.388284504730808e-09
0.002378095123804952,0.0,-1.3882845044687604e-09
0.0023800952038081527,0.0,1.3882845043762142e-09
0.0023820952838113528,-0.0,-1.3882845049086702e-09
0.002384095363814553,0.0,1.3882845050698924e-09
0.002386095443817753,0.0,-1.3882845046987979e-09
0.002388095523820953,-0.0,1.3882845042610702e-09
0.002390095603824153,0.0,-1.3882845043792287e-09
0.002392095683827353,0.0,1.3882845046547015e-09
0.0023940957638305532,-0.0,-1.3882845049840859e-09
0.0023960958438337537,0.0,1.3882845049053091e-09
0.002398095923836954,0.0,-1.3882845045533262e-09
0.002400096003840154,0.0,1.3882845043426391e-09
0.002402096083843354,0.0,-1.3882845047419163e-09
0.002404096163846554,0.0,1.3882845050896215e-09
0.002406096243849754,0.0,-1.3882845048669836e-09
0.002408096323852954,-0.0,1.3882845046709345e-09
0.0024100964038561543,0.0,-1.3882845044870148e-09
0.002412096483859355,0.0,1.388284504907384e-09
0.002414096563862555,-0.0,-1.3882845047580091e-09
0.002416096643865755,0.0,1.3882845049489206e-09
0.002418096723868955,0.0,-1.3882845044045991e-09
0.002420096803872155,-0.0,1.388284504488454e-09
0.002422096883875355,0.0,-1.3882845048028074e-09
0.0024240969638785552,0.0,1.3882845047692904e-09
0.0024260970438817553,-0.0,-1.388284504677963e-09
0.0024280971238849554,0.0,1.3882845046489807e-09
0.002430097203888156,0.0,-1.3882845044250476e-09
0.002432097283891356,0.0,1.3882845047397098e-09
0.002434097363894556,0.0,-1.3882845046250113e-09
0.002436097443897756,0.0,1.3882845048742588e-09
0.0024380975239009562,0.0,-1.3882845046539914e-09
0.0024400976039041563,-0.0,1.3882845048365834e-09
0.0024420976839073564,0.0,-1.3882845045943434e-09
0.0024440977639105564,0.0,1.3882845047622104e-09
0.002446097843913757,-0.0,-1.3882845046514873e-09
0.002448097923916957,0.0,1.3882845048266564e-09
0.002450098003920157,0.0,-1.3882845044966968e-09
0.002452098083923357,-0.0,1.3882845047641255e-09
0.0024540981639265573,0.0,-1.388284504784334e-09
0.0024560982439297573,0.0,1.388284504919795e-09
0.0024580983239329574,-0.0,-1.3882845045565501e-09
0.0024600984039361575,0.0,1.3882845046639974e-09
0.0024620984839393576,0.0,-1.388284504833986e-09
0.002464098563942558,-0.0,1.3882845047411425e-09
0.002466098643945758,0.0,-1.388284504512406e-09
0.0024680987239489582,0.0,1.3882845046287921e-09
0.0024700988039521583,-0.0,-1.3882845046160004e-09
0.0024720988839553584,0.0,1.3882845046829706e-09
0.0024740989639585585,0.0,-1.3882845048741831e-09
0.0024760990439617585,-0.0,1.3882845045114229e-09
0.0024780991239649586,0.0,-1.3882845045442737e-09
0.002480099203968159,0.0,1.3882845048221779e-09
0.002482099283971359,0.0,-1.3882845046120825e-09
0.0024840993639745593,0.0,1.3882845047818096e-09
0.0024860994439777594,0.0,-1.388284504552608e-09
0.0024880995239809594,0.0,1.3882845046952625e-09
0.0024900996039841595,0.0,-1.3882845044325518e-09
0.0024920996839873596,0.0,1.3882845046895601e-09
0.0024940997639905597,0.0,-1.3882845048156386e-09
0.0024960998439937598,-0.0,1.388284504881538e-09
0.0024980999239969603,0.0,-1.3882845045274218e-09
0.0025001000040001603,0.0,1.388284504671962e-09
